sma_short,sma_long,test_cagr,test_sharpe,test_profit_factor,test_max_drawdown,test_num_trades,full_cagr,full_profit_factor
16,60,13.409469899855639,-0.3936384538072869,0.26935891336098944,-0.31651238461878906,4,1.2321290633464548,8.552721057705655
18,55,8.946555781395043,-0.3936384538072869,0.26935891336098944,-0.3165123846187893,4,0.996505132806744,6.318222605776384
10,55,21.692023921163976,-0.5305409174462415,0.24530591514904213,-0.36927394354840837,5,1.559047526121359,6.990906506615117
22,40,4.283172483209981,-0.4658293240422267,0.23843841536966986,-0.336449570108593,4,0.6503280318194617,4.416391616394981
20,45,8.069264518205037,-0.45983137706854404,0.23843841536966973,-0.3364495701085929,4,0.9417857171173225,6.0167668361328825
22,45,7.338196522266319,-0.47246194388740115,0.23680083641636498,-0.3165123846187894,4,0.8932845148145698,4.819168781891483
18,60,7.481587245710978,-0.4749592843779855,0.2339476729174712,-0.33892181463128823,4,0.9030253532256329,5.6671965375558155
24,30,4.63690468346533,-0.4817948860446295,0.23226658090219596,-0.31013458416422135,4,0.6828343687515384,4.976886814918528
20,35,3.3796313339890753,-0.4817948860446295,0.23226658090219596,-0.31013458416422146,4,0.5597465050937864,5.000568633243197
18,50,8.15962313954515,-0.4844984119793492,0.22926607795206064,-0.336449570108593,4,0.947588239619445,6.520080590657167
16,55,14.860385132103259,-0.4844984119793492,0.22926607795206064,-0.33644957010859267,4,1.2975209056282737,9.457267402629203
20,50,6.703015573631731,-0.4844984119793492,0.22926607795206064,-0.336449570108593,4,0.848668616040503,5.328389560640041
24,50,4.253680537647317,-0.4998066648087779,0.225111182850216,-0.3389218146312881,4,0.6475499017267123,3.7481480128778553
20,55,8.504076764881395,-0.4998066648087779,0.225111182850216,-0.338921814631288,4,0.9693477344249544,5.713834635022283
12,55,14.513111640437444,-0.6176166696759844,0.22124050275880472,-0.3842655363394003,5,1.2822630220640758,7.328063074203992
16,50,15.34398829963406,-0.5164582882328909,0.21808500780655918,-0.3447807054912765,4,1.3183843171903713,9.583596767209494
18,45,6.229376048125464,-0.5235237245640774,0.21584120689917027,-0.3447807054912767,4,0.8136952818587737,5.549494767034382
